TCP x,TCP y,TCP z,eef x,eef y,eef z,Cr(rzyz),Pitch(rzyz),Roll(rzyz),Manipulability,joint0,joint1,joint2,joint3,joint4,joint5
0.05,-0.15000000000000002,0.1,-0.0017638090205041382,0.043185165257813685,0.09999999999999998,-75,90.0,-90.0,0.08724297492900208,-2.7126928903590906,1.3703423897285771,1.5600280249901912,1.7344355329842005,-1.60484060023063,1.3627781498480807
0.05,-0.15000000000000002,0.1,-0.05000000000000003,0.023205080756887708,0.09999999999999998,-60,90.0,-90.0,0.11237556607804933,-2.8206845001162444,1.2369023379875708,1.978658515702044,1.3679452280061262,-1.584987507911215,1.6439117735848865
0.05,-0.15000000000000002,0.1,-0.09142135623730953,-0.008578643762690491,0.09999999999999998,-45,90.0,-90.0,0.12646981303601393,0.4449146846110447,-1.1766225653927256,-1.3614195020217061,1.2868010413587998,1.3806448519834023,-2.1471729553229344
0.05,-0.15000000000000002,0.1,-0.12320508075688778,-0.05000000000000002,0.09999999999999998,-30,90.0,-90.0,0.1186757928244681,0.44283184897558825,-1.1992854552928063,-1.6612247955947417,0.9841892370108144,1.4131448700436375,-1.8046404204975424
0.05,-0.15000000000000002,0.1,-0.14318516525781366,-0.09823619097949587,0.09999999999999996,-15,90.0,-90.0,0.11204089632357196,0.35245273597715754,-1.2841964604025937,-1.9250457677473816,0.6161166966484481,1.6257074148306845,-1.5315810737863638
0.05,-0.15000000000000002,0.1,-0.15000000000000002,-0.15000000000000002,0.1,0,90.0,-90.0,0.09457603597321558,0.1130975498732653,-1.3250216396926513,-2.1445197102376476,0.1200295990825174,1.8957727628129744,-1.532752007749707
0.05,-0.15000000000000002,0.1,-0.14318516525781366,-0.20176380902050414,0.09999999999999994,15,90.0,-90.0,0.08538138796512439,-0.27933096133060864,-1.2368186148984475,-2.2613794792139963,-0.5690724752776446,1.8741158786814651,-1.759083575036761
0.05,-0.15000000000000002,0.1,-0.12320508075688778,-0.25,0.1,30,90.0,-90.0,0.11352471115798042,-0.6138391575042952,-1.2076221133612242,-2.119438791596707,-1.144678889031647,1.6478386358990824,-1.7393143127062949
0.05,-0.15000000000000002,0.1,-0.0914213562373095,-0.29142135623730947,0.09999999999999992,45,90.0,-90.0,0.10175732538392536,-0.7863656529431599,-1.2928235212471737,-1.7882539109579128,-1.5725604984680204,1.5701046730474615,-1.5099411662494997
0.05,-0.15000000000000002,0.1,-0.05,-0.3232050807568878,0.09999999999999999,60,90.0,-90.0,0.06656206469723516,-0.8361593350260742,-1.4824874524737652,-1.2609136742933307,-1.8604580087537326,1.6899221788428114,-1.1906345308126838
0.05,-0.05,0.1,-0.0017638090205041382,0.14318516525781372,0.09999999999999998,-75,90.0,-90.0,0.0712835257736767,-2.645058979640959,1.4499226960374632,0.3909028098152458,-1.5077234717084773,1.79779861615364,-2.8653750621909673
0.05,-0.05,0.1,-0.05000000000000003,0.12320508075688773,0.09999999999999998,-60,90.0,-90.0,0.10573553717861812,-2.609564046396987,1.278866679604292,0.8688459297802228,-1.5658540922034578,1.5767590520630541,-2.5639689053290913
0.05,-0.05,0.1,-0.09142135623730953,0.09142135623730953,0.09999999999999998,-45,90.0,-90.0,0.1248571184013549,-2.5756955790028058,1.1903010340061084,1.2300613499881077,-1.735629043873113,1.426675300356312,-2.280063920853215
0.05,-0.05,0.1,-0.12320508075688778,0.05,0.09999999999999998,-30,90.0,-90.0,0.12442293214756352,-2.5576421774953553,1.1769298354191282,1.5424277863771532,-1.9974612320628247,1.3859182285216636,-1.9539335204004116
0.05,-0.05,0.1,-0.14318516525781366,0.0017638090205041451,0.09999999999999996,-15,90.0,-90.0,0.11318641227402705,-2.595518599030559,1.2458394447733512,1.8239593326201669,-2.3314673369017775,1.5207349587808412,-1.622995231821548
0.05,-0.05,0.1,-0.15000000000000002,-0.05,0.1,0,90.0,-90.0,0.10810564147737298,-2.7619673719417657,1.3339348438537137,2.0652621858033298,-2.749353643042377,1.8100697343196077,-1.4729267787360976
0.05,-0.05,0.1,-0.14318516525781366,-0.10176380902050414,0.09999999999999994,15,90.0,-90.0,0.11832469961106945,-0.7098367669636285,-1.201890173837723,-1.6849779624470664,2.15426771619663,-1.427800214786475,1.7825600473673053
0.05,-0.05,0.1,-0.12320508075688778,-0.15000000000000002,0.1,30,90.0,-90.0,0.12762774184022657,-0.7116264545131227,-1.1737278725882119,-1.3880105555755902,1.8546365999216825,-1.389805798412477,2.1238260298354574
0.05,-0.05,0.1,-0.0914213562373095,-0.1914213562373095,0.09999999999999992,45,90.0,-90.0,0.11702830656585113,-0.6830124718746934,-1.2265549038702164,-1.0554388902493748,1.6376175456104864,-1.4931701638649242,2.4285290902845946
0.05,-0.05,0.1,-0.05,-0.22320508075688777,0.09999999999999999,60,90.0,-90.0,0.09044674580679195,-0.6463767397945765,-1.353009879944825,-0.6479587760486265,1.5187259907744057,-1.6823687668815788,2.7088002015067065
0.05,-0.05,0.1,-0.0017638090205041451,-0.2431851652578137,0.09999999999999999,75,90.0,-90.0,0.04242461404204234,-0.6179594348659612,-1.5995245244206897,-0.02600491116851632,1.5496187001001769,-1.925628007492033,3.082179171578059
0.1,-0.10000000000000002,0.1,0.048236190979495865,0.09318516525781369,0.09999999999999998,-75,90.0,-90.0,0.061339655415569475,0.42376249475432215,-1.500185239911515,-0.2638615433289787,1.602280253273238,1.7298300606436103,-2.9458864387443864
0.1,-0.10000000000000002,0.1,-2.7755575615628914e-17,0.07320508075688771,0.09999999999999998,-60,90.0,-90.0,0.09974971247686253,0.4489429266931464,-1.3046682702629453,-0.7904684171956958,1.5329586289501287,1.5074547248182102,-2.6168104359719275
0.1,-0.10000000000000002,0.1,-0.041421356237309526,0.04142135623730951,0.09999999999999998,-45,90.0,-90.0,0.1188106806112342,0.47096206522701844,-1.2057921366602444,-1.1682624224223968,1.3410782723195809,1.354368893220774,-2.3123290130081267
0.1,-0.10000000000000002,0.1,-0.07320508075688778,-1.3877787807814457e-17,0.09999999999999998,-30,90.0,-90.0,0.11876051309029696,0.47460854202748426,-1.1863550252808555,-1.4862035036595374,1.0481157607575275,1.3234362517428604,-1.973076595342024
0.1,-0.10000000000000002,0.1,-0.09318516525781367,-0.04823619097949587,0.09999999999999996,-15,90.0,-90.0,0.11352067127405398,0.4142226312651965,-1.2364666718955737,-1.768940054011864,0.6814695695297477,1.4639416863171013,-1.6562605856256698
0.1,-0.10000000000000002,0.1,-0.1,-0.10000000000000002,0.1,0,90.0,-90.0,0.11245600196779151,0.22876299387868473,-1.2892800854613782,-1.9990254613413039,0.23154491237122454,1.7139669776344444,-1.536413987460243
0.1,-0.10000000000000002,0.1,-0.09318516525781365,-0.15176380902050415,0.09999999999999994,15,90.0,-90.0,0.09675017866975943,-0.09078315101378323,-1.2539885870068461,-2.137085434087828,-0.3621204682602598,1.804941733966174,-1.6578568596930612
0.1,-0.10000000000000002,0.1,-0.07320508075688778,-0.2,0.1,30,90.0,-90.0,0.11325847083461701,-0.4235674567088549,-1.2240683961620893,-2.061704010169906,-0.9515190966074788,1.6540352645967664,-1.6878321507375857
0.1,-0.10000000000000002,0.1,-0.0414213562373095,-0.24142135623730948,0.09999999999999992,45,90.0,-90.0,0.09994914397445749,-0.6310199046914068,-1.2989710403729202,-1.770714322107953,-1.4162040979687591,1.5605864853753417,-1.4987931784924589
0.1,-0.10000000000000002,0.1,0.0,-0.27320508075688776,0.09999999999999999,60,90.0,-90.0,0.06408612175095836,-0.6646327707791955,-1.4853632005561188,-0.3000018752898394,1.5403971658199493,-1.7076153706925685,2.9240850811751473
0.15000000000000002,-0.10000000000000002,0.1,0.09823619097949587,0.09318516525781369,0.09999999999999998,-75,90.0,-90.0,0.03045467691259567,0.40603666639200836,-1.6619973824654382,0.11703866794233335,1.5674892178366377,1.7143523064614437,-3.166944153193862
0.15000000000000002,-0.10000000000000002,0.1,0.04999999999999999,0.07320508075688771,0.09999999999999998,-60,90.0,-90.0,0.08625418585067353,0.4182847224942147,-1.3678368323374115,-0.6062771818608323,1.5294560538893156,1.4729765045792933,-2.736311361614021
0.15000000000000002,-0.10000000000000002,0.1,0.008578643762690491,0.04142135623730951,0.09999999999999998,-45,90.0,-90.0,0.10945204654615269,0.4325174431068907,-1.2420972082470954,-1.020599160237003,1.3390114156095594,1.301364968028055,-2.417064944629214
0.15000000000000002,-0.10000000000000002,0.1,-0.023205080756887764,-1.3877787807814457e-17,0.09999999999999998,-30,90.0,-90.0,0.11265995954339882,0.4303701485053279,-1.198368374856179,-1.3522529926357212,1.0391086448317566,1.2419290019140208,-2.071897837410282
0.15000000000000002,-0.10000000000000002,0.1,-0.04318516525781366,-0.04823619097949587,0.09999999999999996,-15,90.0,-90.0,0.11122680008743831,0.37248821148959566,-1.227052065714827,-1.643690262626141,0.6511646060786004,1.3542783905116387,-1.733113829379138
0.15000000000000002,-0.10000000000000002,0.1,-0.04999999999999999,-0.10000000000000002,0.1,0,90.0,-90.0,0.11506665624987773,0.20175926667480654,-1.265790371705779,-1.8740663117806586,0.200767188607428,1.5684528843103158,-1.5705515668850836
0.15000000000000002,-0.10000000000000002,0.1,-0.04318516525781363,-0.15176380902050415,0.09999999999999994,15,90.0,-90.0,0.11189153985826127,-0.0790532238090911,-1.2549837899712366,-1.9927214046708046,-0.34315088930385007,1.670024585256218,-1.6065549737579166
0.15000000000000002,-0.10000000000000002,0.1,-0.023205080756887764,-0.2,0.1,30,90.0,-90.0,0.11013189597788728,-0.3733574856278238,-1.2567250632042035,-1.913577102434477,-0.897767784636099,1.5882053589132075,-1.5922692362857984
0.15000000000000002,-0.10000000000000002,0.1,0.008578643762690519,-0.24142135623730948,0.09999999999999992,45,90.0,-90.0,0.08860310758901832,-0.5733432807654602,-1.3534642576494713,-1.607480339470283,-1.362626540993024,1.5335123737594876,-1.3931525425366669
0.15000000000000002,-0.10000000000000002,0.1,0.05000000000000002,-0.27320508075688776,0.09999999999999999,60,90.0,-90.0,0.04086336857067369,-0.6456750796026068,-2.0636651478337686,0.9686104336651472,1.6272639975993677,-1.6798380135239814,-2.6635460051297177
0.2,-0.10000000000000002,0.1,0.09999999999999998,0.07320508075688771,0.09999999999999998,-60,90.0,-90.0,0.06900572553741574,-2.7612519234623574,1.4535159420387411,0.38007905160594974,-1.6079297481991024,1.432296696181938,-2.8758828658930597
0.2,-0.10000000000000002,0.1,0.05857864376269048,0.04142135623730951,0.09999999999999998,-45,90.0,-90.0,0.09824621594695394,-2.7554637451236723,1.2899631486268293,0.8536078676050054,-1.7949158701356502,1.238308381020778,-2.5305454207528606
0.2,-0.10000000000000002,0.1,0.026794919243112225,-1.3877787807814457e-17,0.09999999999999998,-30,90.0,-90.0,0.10398847939961571,-2.762359959546055,1.2250974543605728,1.2015254794443557,-2.107046830994013,1.1524722147339639,-2.1686150557877943
0.2,-0.10000000000000002,0.1,0.006814834742186332,-0.04823619097949587,0.09999999999999996,-15,90.0,-90.0,0.10473711496664147,-2.817220273584746,1.2329986126888768,1.5011461177699714,-2.514785900912776,1.2336117488982594,-1.8045114228914663
0.2,-0.10000000000000002,0.1,0.0,-0.10000000000000002,0.1,0,90.0,-90.0,0.11198711560543313,-2.9745378262227278,1.263895424202723,1.7331651291031942,-2.9719434422790214,1.428048540339961,-1.5960354563933334
0.2,-0.10000000000000002,0.1,0.00681483474218636,-0.15176380902050415,0.09999999999999994,15,90.0,-90.0,0.10430316887423965,2.5343763811004667,1.2205536975147564,1.2522983049492422,-0.9859003597780636,-1.1587739482019455,2.114207585183437
0.2,-0.10000000000000002,0.1,0.026794919243112225,-0.2,0.1,30,90.0,-90.0,0.10073507688206403,2.5240147167832947,1.2741849105740883,0.9134624964101871,-1.3113297780390836,-1.2248946544843793,2.4781844892748848
0.2,-0.10000000000000002,0.1,0.05857864376269051,-0.24142135623730948,0.09999999999999992,45,90.0,-90.0,0.07552902246095808,2.5299949123362238,1.418668152321245,0.46995502175070897,-1.5166633168699084,-1.4053399694073518,2.818885715581305
